step,time_or_drift,applied_displacement,base_reaction,row_idx,row_slip,row_connector_force,row_dissipation_increment,row_q_b,row_sticking_flag
0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,True
0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,True
0,0.0,0.0,0.0,2,0.0,0.0,0.0,1.0,True
1,0.0003333333333333333,1.0,0.00035108672454953194,0,0.012727922061357855,0.004454772721475249,0.0,1.0,True
1,0.0003333333333333333,1.0,0.00035108672454953194,1,0.006299999999999999,0.0022049999999999995,0.0,1.0,True
1,0.0003333333333333333,1.0,0.00035108672454953194,2,0.012727922061357855,0.004454772721475249,0.0,1.0,True
2,0.0006666666666666666,2.0,0.0007021734490990639,0,0.02545584412271571,0.008909545442950499,0.0,1.0,True
2,0.0006666666666666666,2.0,0.0007021734490990639,1,0.012599999999999998,0.004409999999999999,0.0,1.0,True
2,0.0006666666666666666,2.0,0.0007021734490990639,2,0.02545584412271571,0.008909545442950499,0.0,1.0,True
3,0.001,3.0,0.0010532606393098831,0,0.03818376618407357,0.013364318164425749,0.0,1.0,True
3,0.001,3.0,0.0010532606393098831,1,0.018899999999999997,0.0066149999999999985,0.0,1.0,True
3,0.001,3.0,0.0010532606393098831,2,0.03818376618407357,0.013364318164425749,0.0,1.0,True
4,0.0013333333333333333,4.0,0.0014043468981981277,0,0.05091168824543142,0.017819090885900998,0.0,1.0,True
4,0.0013333333333333333,4.0,0.0014043468981981277,1,0.025199999999999997,0.008819999999999998,0.0,1.0,True
4,0.0013333333333333333,4.0,0.0014043468981981277,2,0.05091168824543142,0.017819090885900998,0.0,1.0,True
5,0.0016666666666666666,5.0,0.0017554350197315216,0,0.06363961030678927,0.022273863607376244,0.0,1.0,True
5,0.0016666666666666666,5.0,0.0017554350197315216,1,0.03149999999999999,0.011024999999999997,0.0,1.0,True
5,0.0016666666666666666,5.0,0.0017554350197315216,2,0.06363961030678927,0.022273863607376244,0.0,1.0,True
6,0.002,6.0,0.0021065212786197662,0,0.07636753236814714,0.026728636328851498,0.0,1.0,True
6,0.002,6.0,0.0021065212786197662,1,0.03779999999999999,0.013229999999999997,0.0,1.0,True
6,0.002,6.0,0.0021065212786197662,2,0.07636753236814714,0.026728636328851498,0.0,1.0,True
7,0.002333333333333333,6.999999999999999,0.0024576038122177124,0,0.08909545442950498,0.03118340905032674,0.0,1.0,True
7,0.002333333333333333,6.999999999999999,0.0024576038122177124,1,0.044099999999999986,0.015434999999999994,0.0,1.0,True
7,0.002333333333333333,6.999999999999999,0.0024576038122177124,2,0.08909545442950498,0.03118340905032674,0.0,1.0,True
8,0.0026666666666666666,8.0,0.0028086937963962555,0,0.10182337649086284,0.035638181771801995,0.0,1.0,True
8,0.0026666666666666666,8.0,0.0028086937963962555,1,0.05039999999999999,0.017639999999999996,0.0,1.0,True
8,0.0026666666666666666,8.0,0.0028086937963962555,2,0.10182337649086284,0.035638181771801995,0.0,1.0,True
9,0.003,9.0,0.0031597763299942017,0,0.1145512985522207,0.04009295449327724,0.0,1.0,True
9,0.003,9.0,0.0031597763299942017,1,0.05669999999999999,0.019844999999999998,0.0,1.0,True
9,0.003,9.0,0.0031597763299942017,2,0.1145512985522207,0.04009295449327724,0.0,1.0,True
10,0.003333333333333333,10.0,0.003510870039463043,0,0.12727922061357855,0.04454772721475249,0.0,1.0,True
10,0.003333333333333333,10.0,0.003510870039463043,1,0.06299999999999999,0.022049999999999993,0.0,1.0,True
10,0.003333333333333333,10.0,0.003510870039463043,2,0.12727922061357855,0.04454772721475249,0.0,1.0,True
11,0.0036666666666666666,11.0,0.0038619525730609894,0,0.1400071426749364,0.04900249993622774,0.0,1.0,True
11,0.0036666666666666666,11.0,0.0038619525730609894,1,0.06929999999999999,0.024254999999999995,0.0,1.0,True
11,0.0036666666666666666,11.0,0.0038619525730609894,2,0.1400071426749364,0.04900249993622774,0.0,1.0,True
12,0.004,12.0,0.0042130425572395325,0,0.15273506473629428,0.053457272657702996,0.0,1.0,True
12,0.004,12.0,0.0042130425572395325,1,0.07559999999999999,0.026459999999999994,0.0,1.0,True
12,0.004,12.0,0.0042130425572395325,2,0.15273506473629428,0.053457272657702996,0.0,1.0,True
13,0.004333333333333333,13.0,0.0045641325414180756,0,0.16546298679765212,0.05791204537917824,0.0,1.0,True
13,0.004333333333333333,13.0,0.0045641325414180756,1,0.08189999999999999,0.028664999999999993,0.0,1.0,True
13,0.004333333333333333,13.0,0.0045641325414180756,2,0.16546298679765212,0.05791204537917824,0.0,1.0,True
14,0.004666666666666666,13.999999999999998,0.004915207624435425,0,0.17819090885900996,0.06236681810065348,0.0,1.0,True
14,0.004666666666666666,13.999999999999998,0.004915207624435425,1,0.08819999999999997,0.030869999999999988,0.0,1.0,True
14,0.004666666666666666,13.999999999999998,0.004915207624435425,2,0.17819090885900996,0.06236681810065348,0.0,1.0,True
15,0.005,15.0,0.005266301333904266,0,0.19091883092036782,0.06682159082212873,0.0,1.0,True
15,0.005,15.0,0.005266301333904266,1,0.09449999999999999,0.03307499999999999,0.0,1.0,True
15,0.005,15.0,0.005266301333904266,2,0.19091883092036782,0.06682159082212873,0.0,1.0,True
16,0.005333333333333333,16.0,0.005617387592792511,0,0.2036467529817257,0.07127636354360399,0.0,1.0,True
16,0.005333333333333333,16.0,0.005617387592792511,1,0.10079999999999999,0.03527999999999999,0.0,1.0,True
16,0.005333333333333333,16.0,0.005617387592792511,2,0.2036467529817257,0.07127636354360399,0.0,1.0,True
17,0.005666666666666666,17.0,0.005968477576971054,0,0.21637467504308355,0.07573113626507924,0.0,1.0,True
17,0.005666666666666666,17.0,0.005968477576971054,1,0.10709999999999999,0.03748499999999999,0.0,1.0,True
17,0.005666666666666666,17.0,0.005968477576971054,2,0.21637467504308355,0.07573113626507924,0.0,1.0,True
18,0.006,18.0,0.006319552659988403,0,0.2291025971044414,0.08018590898655448,0.0,1.0,True
18,0.006,18.0,0.006319552659988403,1,0.11339999999999999,0.039689999999999996,0.0,1.0,True
18,0.006,18.0,0.006319552659988403,2,0.2291025971044414,0.08018590898655448,0.0,1.0,True
19,0.006333333333333333,19.0,0.006670646369457245,0,0.24183051916579926,0.08464068170802974,0.0,1.0,True
19,0.006333333333333333,19.0,0.006670646369457245,1,0.11969999999999999,0.041894999999999995,0.0,1.0,True
19,0.006333333333333333,19.0,0.006670646369457245,2,0.24183051916579926,0.08464068170802974,0.0,1.0,True
20,0.006666666666666666,20.0,0.007021740078926086,0,0.2545584412271571,0.08909545442950498,0.0,1.0,True
20,0.006666666666666666,20.0,0.007021740078926086,1,0.12599999999999997,0.044099999999999986,0.0,1.0,True
20,0.006666666666666666,20.0,0.007021740078926086,2,0.2545584412271571,0.08909545442950498,0.0,1.0,True
21,0.007,21.0,0.007372807711362839,0,0.26728636328851496,0.09355022715098023,0.0,1.0,True
21,0.007,21.0,0.007372807711362839,1,0.13229999999999997,0.046304999999999985,0.0,1.0,True
21,0.007,21.0,0.007372807711362839,2,0.26728636328851496,0.09355022715098023,0.0,1.0,True
22,0.007333333333333333,22.0,0.007723905146121979,0,0.2800142853498728,0.09800499987245548,0.0,1.0,True
22,0.007333333333333333,22.0,0.007723905146121979,1,0.13859999999999997,0.04850999999999999,0.0,1.0,True
22,0.007333333333333333,22.0,0.007723905146121979,2,0.2800142853498728,0.09800499987245548,0.0,1.0,True
23,0.007666666666666666,23.0,0.008074983954429626,0,0.2927422074112307,0.10245977259393074,0.0,1.0,True
23,0.007666666666666666,23.0,0.008074983954429626,1,0.14489999999999997,0.05071499999999999,0.0,1.0,True
23,0.007666666666666666,23.0,0.008074983954429626,2,0.2927422074112307,0.10245977259393074,0.0,1.0,True
24,0.008,24.0,0.008426085114479065,0,0.30547012947258856,0.10691454531540599,0.0,1.0,True
24,0.008,24.0,0.008426085114479065,1,0.15119999999999997,0.05291999999999999,0.0,1.0,True
24,0.008,24.0,0.008426085114479065,2,0.30547012947258856,0.10691454531540599,0.0,1.0,True
25,0.008333333333333333,25.0,0.008777156472206116,0,0.31819805153394637,0.11136931803688122,0.0,1.0,True
25,0.008333333333333333,25.0,0.008777156472206116,1,0.15749999999999997,0.055124999999999987,0.0,1.0,True
25,0.008333333333333333,25.0,0.008777156472206116,2,0.31819805153394637,0.11136931803688122,0.0,1.0,True
26,0.008666666666666666,26.0,0.009128265082836151,0,0.33092597359530423,0.11582409075835648,0.0,1.0,True
26,0.008666666666666666,26.0,0.009128265082836151,1,0.16379999999999997,0.057329999999999985,0.0,1.0,True
26,0.008666666666666666,26.0,0.009128265082836151,2,0.33092597359530423,0.11582409075835648,0.0,1.0,True
27,0.009,26.999999999999996,0.009479336440563202,0,0.34365389565666205,0.1202788634798317,0.0,1.0,True
27,0.009,26.999999999999996,0.009479336440563202,1,0.17009999999999995,0.05953499999999998,0.0,1.0,True
27,0.009,26.999999999999996,0.009479336440563202,2,0.34365389565666205,0.1202788634798317,0.0,1.0,True
28,0.009333333333333332,27.999999999999996,0.00983041524887085,0,0.3563818177180199,0.12473363620130697,0.0,1.0,True
28,0.009333333333333332,27.999999999999996,0.00983041524887085,1,0.17639999999999995,0.061739999999999975,0.0,1.0,True
28,0.009333333333333332,27.999999999999996,0.00983041524887085,2,0.3563818177180199,0.12473363620130697,0.0,1.0,True
29,0.009666666666666667,29.0,0.010181501507759094,0,0.36910973977937783,0.12918840892278224,0.0,1.0,True
29,0.009666666666666667,29.0,0.010181501507759094,1,0.18269999999999997,0.06394499999999999,0.0,1.0,True
29,0.009666666666666667,29.0,0.010181501507759094,2,0.36910973977937783,0.12918840892278224,0.0,1.0,True
30,0.01,30.0,0.010532602667808533,0,0.38183766184073564,0.13364318164425745,0.0,1.0,True
30,0.01,30.0,0.010532602667808533,1,0.18899999999999997,0.06614999999999999,0.0,1.0,True
30,0.01,30.0,0.010532602667808533,2,0.38183766184073564,0.13364318164425745,0.0,1.0,True
31,0.009333333333333334,28.000000000000004,0.009830430150032043,0,0.35638181771802,0.124733636201307,0.0,1.0,True
31,0.009333333333333334,28.000000000000004,0.009830430150032043,1,0.1764,0.061739999999999996,0.0,1.0,True
31,0.009333333333333334,28.000000000000004,0.009830430150032043,2,0.35638181771802,0.124733636201307,0.0,1.0,True
32,0.008666666666666666,26.0,0.009128265082836151,0,0.33092597359530423,0.11582409075835648,0.0,1.0,True
32,0.008666666666666666,26.0,0.009128265082836151,1,0.16379999999999997,0.057329999999999985,0.0,1.0,True
32,0.008666666666666666,26.0,0.009128265082836151,2,0.33092597359530423,0.11582409075835648,0.0,1.0,True
33,0.008,24.0,0.008426085114479065,0,0.30547012947258856,0.10691454531540599,0.0,1.0,True
33,0.008,24.0,0.008426085114479065,1,0.15119999999999997,0.05291999999999999,0.0,1.0,True
33,0.008,24.0,0.008426085114479065,2,0.30547012947258856,0.10691454531540599,0.0,1.0,True
34,0.007333333333333334,22.000000000000004,0.007723905146121979,0,0.2800142853498729,0.0980049998724555,0.0,1.0,True
34,0.007333333333333334,22.000000000000004,0.007723905146121979,1,0.1386,0.04851,0.0,1.0,True
34,0.007333333333333334,22.000000000000004,0.007723905146121979,2,0.2800142853498729,0.0980049998724555,0.0,1.0,True
35,0.006666666666666667,20.0,0.007021740078926086,0,0.2545584412271571,0.08909545442950498,0.0,1.0,True
35,0.006666666666666667,20.0,0.007021740078926086,1,0.12599999999999997,0.044099999999999986,0.0,1.0,True
35,0.006666666666666667,20.0,0.007021740078926086,2,0.2545584412271571,0.08909545442950498,0.0,1.0,True
36,0.006,18.0,0.006319552659988403,0,0.2291025971044414,0.08018590898655448,0.0,1.0,True
36,0.006,18.0,0.006319552659988403,1,0.11339999999999999,0.039689999999999996,0.0,1.0,True
36,0.006,18.0,0.006319552659988403,2,0.2291025971044414,0.08018590898655448,0.0,1.0,True
37,0.005333333333333334,16.000000000000004,0.005617387592792511,0,0.20364675298172574,0.071276363543604,0.0,1.0,True
37,0.005333333333333334,16.000000000000004,0.005617387592792511,1,0.10080000000000001,0.035280000000000006,0.0,1.0,True
37,0.005333333333333334,16.000000000000004,0.005617387592792511,2,0.20364675298172574,0.071276363543604,0.0,1.0,True
38,0.004666666666666667,14.000000000000002,0.004915215075016022,0,0.17819090885901,0.0623668181006535,0.0,1.0,True
38,0.004666666666666667,14.000000000000002,0.004915215075016022,1,0.0882,0.030869999999999998,0.0,1.0,True
38,0.004666666666666667,14.000000000000002,0.004915215075016022,2,0.17819090885901,0.0623668181006535,0.0,1.0,True
39,0.004,12.0,0.0042130425572395325,0,0.15273506473629428,0.053457272657702996,0.0,1.0,True
39,0.004,12.0,0.0042130425572395325,1,0.07559999999999999,0.026459999999999994,0.0,1.0,True
39,0.004,12.0,0.0042130425572395325,2,0.15273506473629428,0.053457272657702996,0.0,1.0,True
40,0.003333333333333334,10.000000000000002,0.003510870039463043,0,0.12727922061357858,0.044547727214752496,0.0,1.0,True
40,0.003333333333333334,10.000000000000002,0.003510870039463043,1,0.063,0.02205,0.0,1.0,True
40,0.003333333333333334,10.000000000000002,0.003510870039463043,2,0.12727922061357858,0.044547727214752496,0.0,1.0,True
41,0.002666666666666667,8.000000000000002,0.0028086937963962555,0,0.10182337649086287,0.035638181771802,0.0,1.0,True
41,0.002666666666666667,8.000000000000002,0.0028086937963962555,1,0.05040000000000001,0.017640000000000003,0.0,1.0,True
41,0.002666666666666667,8.000000000000002,0.0028086937963962555,2,0.10182337649086287,0.035638181771802,0.0,1.0,True
42,0.002,6.0,0.0021065212786197662,0,0.07636753236814714,0.026728636328851498,0.0,1.0,True
42,0.002,6.0,0.0021065212786197662,1,0.03779999999999999,0.013229999999999997,0.0,1.0,True
42,0.002,6.0,0.0021065212786197662,2,0.07636753236814714,0.026728636328851498,0.0,1.0,True
43,0.001333333333333334,4.000000000000002,0.0014043450355529785,0,0.05091168824543144,0.017819090885901005,0.0,1.0,True
43,0.001333333333333334,4.000000000000002,0.0014043450355529785,1,0.025200000000000007,0.008820000000000001,0.0,1.0,True
43,0.001333333333333334,4.000000000000002,0.0014043450355529785,2,0.05091168824543144,0.017819090885901005,0.0,1.0,True
44,0.0006666666666666678,2.0000000000000036,0.0007021729834377766,0,0.025455844122715756,0.008909545442950514,0.0,1.0,True
44,0.0006666666666666678,2.0000000000000036,0.0007021729834377766,1,0.012600000000000021,0.004410000000000007,0.0,1.0,True
44,0.0006666666666666678,2.0000000000000036,0.0007021729834377766,2,0.025455844122715756,0.008909545442950514,0.0,1.0,True
45,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,True
45,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,True
45,0.0,0.0,0.0,2,0.0,0.0,0.0,1.0,True
46,-0.0006666666666666661,-1.9999999999999982,-0.0007021734490990639,0,-0.025455844122715687,-0.00890954544295049,0.0,1.0,True
46,-0.0006666666666666661,-1.9999999999999982,-0.0007021734490990639,1,-0.012599999999999988,-0.0044099999999999955,0.0,1.0,True
46,-0.0006666666666666661,-1.9999999999999982,-0.0007021734490990639,2,-0.025455844122715687,-0.00890954544295049,0.0,1.0,True
47,-0.0013333333333333322,-3.9999999999999964,-0.0014043468981981277,0,-0.05091168824543137,-0.01781909088590098,0.0,1.0,True
47,-0.0013333333333333322,-3.9999999999999964,-0.0014043468981981277,1,-0.025199999999999976,-0.008819999999999991,0.0,1.0,True
47,-0.0013333333333333322,-3.9999999999999964,-0.0014043468981981277,2,-0.05091168824543137,-0.01781909088590098,0.0,1.0,True
48,-0.002,-6.0,-0.0021065212786197662,0,-0.07636753236814714,-0.026728636328851498,0.0,1.0,True
48,-0.002,-6.0,-0.0021065212786197662,1,-0.03779999999999999,-0.013229999999999997,0.0,1.0,True
48,-0.002,-6.0,-0.0021065212786197662,2,-0.07636753236814714,-0.026728636328851498,0.0,1.0,True
49,-0.002666666666666666,-7.999999999999998,-0.0028086937963962555,0,-0.10182337649086282,-0.03563818177180198,0.0,1.0,True
49,-0.002666666666666666,-7.999999999999998,-0.0028086937963962555,1,-0.05039999999999998,-0.017639999999999992,0.0,1.0,True
49,-0.002666666666666666,-7.999999999999998,-0.0028086937963962555,2,-0.10182337649086282,-0.03563818177180198,0.0,1.0,True
50,-0.0033333333333333322,-9.999999999999996,-0.0035108625888824463,0,-0.12727922061357852,-0.04454772721475248,0.0,1.0,True
50,-0.0033333333333333322,-9.999999999999996,-0.0035108625888824463,1,-0.06299999999999997,-0.02204999999999999,0.0,1.0,True
50,-0.0033333333333333322,-9.999999999999996,-0.0035108625888824463,2,-0.12727922061357852,-0.04454772721475248,0.0,1.0,True
51,-0.004,-12.0,-0.0042130425572395325,0,-0.15273506473629428,-0.053457272657702996,0.0,1.0,True
51,-0.004,-12.0,-0.0042130425572395325,1,-0.07559999999999999,-0.026459999999999994,0.0,1.0,True
51,-0.004,-12.0,-0.0042130425572395325,2,-0.15273506473629428,-0.053457272657702996,0.0,1.0,True
52,-0.004666666666666666,-13.999999999999998,-0.004915207624435425,0,-0.17819090885900996,-0.06236681810065348,0.0,1.0,True
52,-0.004666666666666666,-13.999999999999998,-0.004915207624435425,1,-0.08819999999999997,-0.030869999999999988,0.0,1.0,True
52,-0.004666666666666666,-13.999999999999998,-0.004915207624435425,2,-0.17819090885900996,-0.06236681810065348,0.0,1.0,True
53,-0.005333333333333332,-15.999999999999996,-0.005617387592792511,0,-0.20364675298172563,-0.07127636354360396,0.0,1.0,True
53,-0.005333333333333332,-15.999999999999996,-0.005617387592792511,1,-0.10079999999999996,-0.035279999999999985,0.0,1.0,True
53,-0.005333333333333332,-15.999999999999996,-0.005617387592792511,2,-0.20364675298172563,-0.07127636354360396,0.0,1.0,True
54,-0.006,-18.0,-0.006319552659988403,0,-0.2291025971044414,-0.08018590898655448,0.0,1.0,True
54,-0.006,-18.0,-0.006319552659988403,1,-0.11339999999999999,-0.039689999999999996,0.0,1.0,True
54,-0.006,-18.0,-0.006319552659988403,2,-0.2291025971044414,-0.08018590898655448,0.0,1.0,True
55,-0.006666666666666666,-20.0,-0.007021740078926086,0,-0.2545584412271571,-0.08909545442950498,0.0,1.0,True
55,-0.006666666666666666,-20.0,-0.007021740078926086,1,-0.12599999999999997,-0.044099999999999986,0.0,1.0,True
55,-0.006666666666666666,-20.0,-0.007021740078926086,2,-0.2545584412271571,-0.08909545442950498,0.0,1.0,True
56,-0.007333333333333332,-21.999999999999996,-0.007723905146121979,0,-0.28001428534987277,-0.09800499987245546,0.0,1.0,True
56,-0.007333333333333332,-21.999999999999996,-0.007723905146121979,1,-0.13859999999999997,-0.04850999999999999,0.0,1.0,True
56,-0.007333333333333332,-21.999999999999996,-0.007723905146121979,2,-0.28001428534987277,-0.09800499987245546,0.0,1.0,True
57,-0.007999999999999998,-23.999999999999996,-0.008426077663898468,0,-0.3054701294725885,-0.10691454531540596,0.0,1.0,True
